CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,H6_Facial Coverings
United States,20200630,3.0,2.0,1.0,3.0
United States,20200701,3.0,2.0,1.0,3.0
United States,20200702,3.0,2.0,1.0,3.0
United States,20200703,3.0,2.0,1.0,3.0
United States,20200704,3.0,2.0,1.0,3.0
United States,20200705,3.0,2.0,1.0,3.0
United States,20200706,3.0,2.0,1.0,3.0
United States,20200707,3.0,2.0,1.0,3.0
United States,20200708,3.0,2.0,1.0,3.0
United States,20200709,3.0,2.0,1.0,3.0
United States,20200710,3.0,2.0,1.0,2.0
United States,20200711,3.0,2.0,1.0,2.0
United States,20200712,3.0,2.0,1.0,2.0
United States,20200713,3.0,2.0,1.0,2.0
United States,20200714,3.0,2.0,1.0,2.0
United States,20200715,3.0,2.0,1.0,2.0
United States,20200716,3.0,2.0,1.0,2.0
United States,20200717,3.0,2.0,1.0,2.0
United States,20200718,3.0,2.0,1.0,2.0
United States,20200719,3.0,2.0,1.0,2.0
United States,20200720,3.0,2.0,1.0,2.0
United States,20200721,3.0,2.0,1.0,2.0
United States,20200722,3.0,2.0,1.0,2.0
United States,20200723,3.0,2.0,1.0,2.0
United States,20200724,3.0,2.0,1.0,2.0
United States,20200725,3.0,2.0,1.0,2.0
United States,20200726,3.0,2.0,1.0,2.0
United States,20200727,3.0,2.0,1.0,2.0
United States,20200728,3.0,2.0,1.0,2.0
United States,20200729,3.0,2.0,1.0,2.0
United States,20200730,3.0,2.0,1.0,2.0
United States,20200731,3.0,2.0,1.0,2.0
United States,20200801,3.0,2.0,1.0,2.0
United States,20200802,3.0,2.0,1.0,2.0
United States,20200803,3.0,2.0,1.0,2.0
United States,20200804,3.0,2.0,1.0,2.0
United States,20200805,3.0,2.0,1.0,2.0
United States,20200806,3.0,2.0,1.0,2.0
United States,20200807,3.0,2.0,1.0,2.0
United States,20200808,3.0,2.0,1.0,2.0
United States,20200809,3.0,2.0,1.0,2.0
United States,20200810,3.0,2.0,1.0,2.0
United States,20200811,3.0,2.0,1.0,2.0
United States,20200812,3.0,2.0,1.0,2.0
United States,20200813,3.0,2.0,1.0,2.0
United States,20200814,3.0,2.0,1.0,2.0
United States,20200815,3.0,2.0,1.0,2.0
United States,20200816,3.0,2.0,1.0,2.0
United States,20200817,3.0,2.0,1.0,2.0
United States,20200818,3.0,2.0,1.0,2.0
United States,20200819,3.0,2.0,1.0,2.0
United States,20200820,3.0,2.0,1.0,2.0
United States,20200821,3.0,2.0,1.0,2.0
United States,20200822,3.0,2.0,1.0,2.0
United States,20200823,3.0,2.0,1.0,2.0
United States,20200824,3.0,2.0,1.0,2.0
United States,20200825,3.0,2.0,1.0,2.0
United States,20200826,3.0,2.0,1.0,2.0
United States,20200827,3.0,2.0,1.0,2.0
United States,20200828,3.0,2.0,1.0,2.0
United States,20200829,3.0,2.0,1.0,2.0
United States,20200830,3.0,2.0,1.0,2.0
United States,20200831,2.0,2.0,1.0,2.0
United States,20200901,2.0,2.0,1.0,2.0
United States,20200902,2.0,2.0,1.0,2.0
United States,20200903,2.0,2.0,1.0,2.0
United States,20200904,2.0,2.0,1.0,2.0
